HOG	OG	Gene Tree Parent Clade	Arachis_hypogaea	Brassica_napus	Capsicum_anuum	Prunus_persica	Solanum_lycopersicum
N3.HOG0009875	OG0006331	n4			CA10g22350		Solyc10T002192.1
N3.HOG0009876	OG0006332	n4			CA05g03280		Solyc04T000437.1
N3.HOG0009877	OG0006332	n6			CA06g04400		Solyc06T000045.1
N3.HOG0009878	OG0006333	n0			CA10g09440		Solyc09T001283.1
N3.HOG0009879	OG0006334	n0			CA01g09710		Solyc08T001698.1
N3.HOG0009880	OG0006335	n0			CA12g03950, CA12g03960		Solyc11T000354.1
N3.HOG0009881	OG0006336	n0			CA00g84220		Solyc07T002076.1
N3.HOG0009882	OG0006337	n0			CA12g08180, CA08g01750		Solyc08T000723.1
N3.HOG0009883	OG0006339	n4			CA03g34480		Solyc03T003326.1
N3.HOG0009884	OG0006339	n5			CA06g16740		Solyc06T001703.1
N3.HOG0009885	OG0006341	n0			CA11g00700		Solyc08T001055.1
N3.HOG0009886	OG0006342	n1			CA00g00040		Solyc08T001307.1, Solyc01T003273.1
N3.HOG0009887	OG0006342	n5			CA03g36390		Solyc03T003455.1
N3.HOG0009888	OG0006343	n0			CA11g00710		Solyc05T000405.2
N3.HOG0009889	OG0006344	n0			CA01g18500		
N3.HOG0009890	OG0006345	n0			CA06g24510		Solyc06T002435.1
N3.HOG0009891	OG0006346	n0			CA10g00820, CA07g21200		Solyc07T002819.1
N3.HOG0009892	OG0006347	n0			CA01g20280		Solyc01T002425.1, Solyc01T002424.1
N3.HOG0009893	OG0006348	n0			CA07g21100		Solyc07T002828.3
N3.HOG0009894	OG0006349	n0			CA07g18290		Solyc07T002548.1
N3.HOG0009895	OG0006350	n1			CA06g04600		Solyc06T000062.1
N3.HOG0009896	OG0006350	n6			CA05g03130		Solyc04T000446.1
N3.HOG0009897	OG0006351	n0			CA03g14290		Solyc02T000761.1, Solyc03T001932.1, Solyc02T000765.1
N3.HOG0009898	OG0006352	n0			CA10g00740		Solyc12T000801.1, Solyc10T000052.1
N3.HOG0009899	OG0006353	n2			CA03g13500		Solyc03T001900.1
N3.HOG0009900	OG0006353	n7			CA09g00250		
N3.HOG0009901	OG0006354	n0			CA11g18050		Solyc11T002084.2, Solyc01T001190.1
N3.HOG0009902	OG0006355	n0			CA07g21520		Solyc07T002791.1
N3.HOG0009903	OG0006356	n0			CA00g85790		Solyc06T001132.1
N3.HOG0009904	OG0006357	n1			CA01g20060		Solyc01T002399.3
N3.HOG0009905	OG0006357	n7			CA01g20070		
N3.HOG0009906	OG0006358	n0			CA07g14300		Solyc07T002091.1
N3.HOG0009907	OG0006359	n0			CA06g07980		Solyc06T001093.1
N3.HOG0009908	OG0006360	n0			CA07g12240		Solyc07T001950.2
N3.HOG0009909	OG0006361	n0			CA03g31750		Solyc03T002932.1, Solyc06T001735.1
N3.HOG0009910	OG0006362	n0			CA06g24500		Solyc11T002073.1, Solyc06T002434.1
N3.HOG0009911	OG0006363	n0			CA07g16170, CA10g01960		Solyc10T000268.1
N3.HOG0009912	OG0006364	n0			CA11g16650		Solyc06T002283.1, Solyc11T002225.1
N3.HOG0009913	OG0006365	n0			CA10g01510		Solyc10T000216.1
N3.HOG0009914	OG0006366	n0			CA11g10340		Solyc11T001484.1
N3.HOG0009915	OG0006367	n3			CA10g21520, CA00g78380		Solyc03T003414.1
N3.HOG0009916	OG0006367	n8			CA00g78390		
N3.HOG0009917	OG0006368	n0			CA07g17250		Solyc07T002448.1
N3.HOG0009918	OG0006369	n3			CA03g01390, CA11g08430		Solyc09T002715.1
N3.HOG0009919	OG0006369	n5			CA03g01520		Solyc11T001512.2
N3.HOG0009920	OG0006370	n0			CA07g16960, CA07g16950		Solyc07T002425.1, Solyc12T000678.1
N3.HOG0009921	OG0006371	n0			CA00g84720		Solyc01T002410.1
N3.HOG0009922	OG0006372	n3			CA09g02100		Solyc09T000213.1
N3.HOG0009923	OG0006372	n8					Solyc10T002683.1
N3.HOG0009924	OG0006373	n0			CA08g19150		
N3.HOG0009925	OG0006374	n0			CA06g24670		Solyc06T002464.1
N3.HOG0009926	OG0006375	n0			CA06g17040		Solyc06T001730.1
N3.HOG0009927	OG0006376	n0			CA10g03280		Solyc10T000351.1
N3.HOG0009928	OG0006377	n6			CA07g01940		
N3.HOG0009929	OG0006377	n8					Solyc07T000059.1
N3.HOG0009930	OG0006378	n0			CA08g19080		Solyc10T001942.1, Solyc01T004303.1
N3.HOG0009931	OG0006379	n0			CA12g00240		Solyc05T002748.1
N3.HOG0009932	OG0006381	n1			CA10g01540		Solyc10T000219.2
N3.HOG0009933	OG0006381	n7			CA10g03780		Solyc10T000388.1
N3.HOG0009934	OG0006382	n1			CA02g16060		Solyc02T001562.1
N3.HOG0009935	OG0006382	n7			CA02g04620		
N3.HOG0009936	OG0006383	n7			CA10g14150		Solyc10T002782.1
N3.HOG0009937	OG0006383	n8			CA09g06660		Solyc09T000585.1
N3.HOG0009938	OG0006384	n0			CA02g04650, CA00g61700, CA02g00780		PRAM_25939.1.p1
N3.HOG0009939	OG0006385	n0			CA07g05160		Solyc05T001560.1, Solyc07T001533.1
N3.HOG0009940	OG0006386	n0			CA06g24590		Solyc06T002447.1
N3.HOG0009941	OG0006387	n0			CA07g08680		Solyc07T000391.1, Solyc09T000436.1
N3.HOG0009942	OG0006388	n0			CA08g00990		Solyc01T000240.1
N3.HOG0009943	OG0006389	n4			CA03g15600		Solyc03T001842.1
N3.HOG0009944	OG0006389	n5			CA11g11310		Solyc06T000620.1, Solyc07T000993.1
N3.HOG0009945	OG0006390	n0			CA12g08260		Solyc11T000075.1
N3.HOG0009946	OG0006391	n0			CA06g23290		Solyc04T001849.1
N3.HOG0009947	OG0006392	n0			CA04g08450		
N3.HOG0009948	OG0006393	n0					Solyc03T002174.1
N3.HOG0009949	OG0006394	n0			CA02g09800		Solyc02T001101.1
N3.HOG0009950	OG0006395	n0			CA03g03330		Solyc09T002846.1
N3.HOG0009951	OG0006396	n0			CA11g04440		Solyc04T000068.1, Solyc05T000269.1
N3.HOG0009952	OG0006397	n0			CA02g21810		Solyc03T000594.1, Solyc02T002071.1
N3.HOG0009953	OG0006398	n0					Solyc04T000994.1
N3.HOG0009954	OG0006399	n0			CA11g10190, CA02g01680, CA08g08210		Solyc01T002931.1
N3.HOG0009955	OG0006400	n0			CA04g13120		Solyc04T002033.1, Solyc03T000546.1
N3.HOG0009956	OG0006401	n0			CA08g18380		Solyc01T004125.1
N3.HOG0009957	OG0006402	n2			CA12g15550		Solyc12T002348.1
N3.HOG0009958	OG0006402	n3			CA00g62210		Solyc04T002409.2
N3.HOG0009959	OG0006403	n0			CA07g12040, CA07g12030		Solyc07T001959.1
N3.HOG0009960	OG0006404	n0			CA05g10540, CA11g03060, CA01g16970, CA08g09140, CA07g06100		
N3.HOG0009961	OG0006406	n0			CA03g00400		Solyc09T002739.1
N3.HOG0009962	OG0006407	n0			CA03g33400		Solyc12T001497.1, Solyc03T003219.2
N3.HOG0009963	OG0006408	n0			CA03g33860		Solyc03T003268.1
N3.HOG0009964	OG0006409	n0			CA08g18350		Solyc01T000842.1, Solyc01T000845.1, Solyc01T004122.1
N3.HOG0009965	OG0006410	n0			CA11g06540		Solyc05T000135.1
N3.HOG0009966	OG0006411	n0			CA03g15720, CA03g15710		Solyc03T001857.1
N3.HOG0009967	OG0006412	n0			CA00g71460, CA08g04220		Solyc12T000223.1
N3.HOG0009968	OG0006413	n0					Solyc11T001536.1
N3.HOG0009969	OG0006414	n0			CA00g68680		Solyc07T002279.1
N3.HOG0009970	OG0006415	n0			CA03g00840		Solyc05T002499.1, Solyc09T002770.1
N3.HOG0009971	OG0006416	n0			CA03g33620		Solyc08T001852.2, Solyc03T003233.1
N3.HOG0009972	OG0006417	n0			CA01g21300		Solyc01T002502.1
N3.HOG0009973	OG0006418	n0			CA07g09050		Solyc07T000699.1
N3.HOG0009974	OG0006419	n0			CA00g36910		Solyc01T002299.1
N3.HOG0009975	OG0006420	n4			CA09g03700		
N3.HOG0009976	OG0006420	n7			CA06g06240		Solyc06T000013.1
N3.HOG0009977	OG0006420	n8			CA06g06260		Solyc06T000014.1
N3.HOG0009978	OG0006421	n0			CA12g00050		Solyc05T002760.1
N3.HOG0009979	OG0006422	n7			CA12g14570		Solyc12T002184.1
N3.HOG0009980	OG0006422	n8			CA01g01150		Solyc08T002479.1
N3.HOG0009981	OG0006423	n0					Solyc05T001242.1, Solyc05T001240.1
N3.HOG0009982	OG0006424	n0			CA11g08220		Solyc02T000050.1, Solyc11T001750.1, Solyc04T000926.1, Solyc05T000056.1
N3.HOG0009983	OG0006425	n1			CA03g19780		Solyc06T001045.3, Solyc03T001754.2
N3.HOG0009984	OG0006427	n0					Solyc11T001089.1
N3.HOG0009985	OG0006428	n1			CA12g04060		Solyc11T000362.4
N3.HOG0009986	OG0006429	n0			CA00g52420		Solyc01T004379.1
N3.HOG0009987	OG0006430	n0					Solyc02T001102.1
N3.HOG0009988	OG0006431	n0			CA07g12220		Solyc12T001457.1
N3.HOG0009989	OG0006432	n0			CA10g05240		Solyc10T000025.1
N3.HOG0009990	OG0006434	n0					Solyc10T002932.1, Solyc08T000702.1
N3.HOG0009991	OG0006435	n3			CA03g30150		Solyc03T002893.1
N3.HOG0009992	OG0006435	n4			CA06g19030		Solyc06T001928.1
N3.HOG0009993	OG0006435	n5			CA11g04840		Solyc05T000246.1
N3.HOG0009994	OG0006436	n1			CA02g15910		Solyc10T000412.1
N3.HOG0009995	OG0006437	n0			CA09g15720		Solyc12T000199.1
N3.HOG0009996	OG0006438	n0					Solyc05T000776.2, Solyc04T000066.1, Solyc03T001344.1
N3.HOG0009997	OG0006439	n0			CA07g11450		Solyc07T001885.1
N3.HOG0009998	OG0006440	n0			CA04g11220		Solyc11T000840.1
N3.HOG0009999	OG0006441	n0			CA06g15360, CA01g22530		Solyc06T001526.1
N3.HOG0010000	OG0006442	n1			CA09g16650		
N3.HOG0010001	OG0006442	n4			CA09g16660, CA00g18400		Solyc04T000210.1
N3.HOG0010002	OG0006443	n1					Solyc11T000045.1
N3.HOG0010003	OG0006443	n3			CA00g50110		
N3.HOG0010004	OG0006444	n0					Solyc11T001961.1
N3.HOG0010005	OG0006445	n0			CA07g08760		Solyc07T001234.1, Solyc07T001233.1
N3.HOG0010006	OG0006446	n0			CA01g31680		Solyc01T003802.1
N3.HOG0010007	OG0006449	n0			CA12g03140		Solyc04T000501.1, Solyc11T000426.1
N3.HOG0010008	OG0006450	n0					Solyc10T000273.1
N3.HOG0010009	OG0006452	n0			CA04g09190		Solyc10T001242.1, Solyc11T001026.2
N3.HOG0010010	OG0006453	n6			CA12g08490		Solyc04T001641.1
N3.HOG0010011	OG0006453	n7			CA05g02600		Solyc04T000485.1
N3.HOG0010012	OG0006454	n0			CA03g20660		Solyc03T002139.1
N3.HOG0010013	OG0006455	n7			CA00g90080		Solyc09T002821.1
N3.HOG0010014	OG0006455	n8			CA12g20480		Solyc12T002698.1
N3.HOG0010015	OG0006456	n0			CA02g07180		Solyc08T001322.1
N3.HOG0010016	OG0006457	n0			CA02g23250		Solyc10T000443.1, Solyc03T001673.1
N3.HOG0010017	OG0006458	n0			CA12g08170		Solyc11T000096.1
N3.HOG0010018	OG0006459	n0			CA09g08090, CA01g05030		Solyc08T002151.1
N3.HOG0010019	OG0006460	n4			CA03g31780		Solyc03T002938.1
N3.HOG0010020	OG0006460	n5			CA06g17150, CA06g17110		Solyc06T001737.1
N3.HOG0010021	OG0006460	n7			CA07g04620		Solyc07T000334.1
N3.HOG0010022	OG0006461	n6			CA01g15490		Solyc04T000057.1
N3.HOG0010023	OG0006461	n7			CA11g03660		Solyc05T000720.1, Solyc05T000718.1
N3.HOG0010024	OG0006462	n0			CA00g80550		Solyc12T000209.1
N3.HOG0010025	OG0006463	n0			CA08g01330		Solyc01T000018.1
N3.HOG0010026	OG0006464	n0			CA05g09190		
N3.HOG0010027	OG0006465	n0			CA11g04410		Solyc05T000267.1
N3.HOG0010028	OG0006466	n0			CA02g16160		Solyc02T001556.1
N3.HOG0010029	OG0006467	n0			CA09g14780		Solyc07T001551.6, Solyc12T000343.2
N3.HOG0010030	OG0006468	n0			CA05g16290		Solyc05T002413.1
N3.HOG0010031	OG0006469	n0			CA12g20980		Solyc12T002722.1
N3.HOG0010032	OG0006470	n0			CA00g19770, CA00g19760		Solyc04T001777.1
N3.HOG0010033	OG0006471	n1			CA01g02390		Solyc08T002376.4
N3.HOG0010034	OG0006472	n0			CA11g04190		Solyc05T000286.1
N3.HOG0010035	OG0006473	n0			CA12g21750		Solyc05T001587.3, Solyc12T002811.2
N3.HOG0010036	OG0006475	n0			CA02g19660		Solyc02T001876.1
N3.HOG0010037	OG0006476	n0			CA03g33020		Solyc03T003191.1
N3.HOG0010038	OG0006477	n0			CA03g22010		Solyc06T002116.1, Solyc03T002194.1
N3.HOG0010039	OG0006478	n0			CA08g15400		Solyc10T001270.1, Solyc01T003695.1
N3.HOG0010040	OG0006479	n0			CA11g04570, CA00g87710		Solyc12T001155.1
N3.HOG0010041	OG0006480	n0			CA01g04310		Solyc08T002222.1
N3.HOG0010042	OG0006481	n3			CA12g18420		Solyc12T002534.1
N3.HOG0010043	OG0006481	n4			CA11g20140		Solyc08T001416.1, Solyc11T002372.1
N3.HOG0010044	OG0006482	n0			CA06g26620		Solyc06T002660.1
N3.HOG0010045	OG0006483	n5			CA03g32810		
N3.HOG0010046	OG0006483	n6			CA03g32800		
N3.HOG0010047	OG0006484	n0			CA01g34140		Solyc08T000305.1, Solyc08T000306.1, Solyc08T000307.1
N3.HOG0010048	OG0006485	n0			CA07g09230, CA10g14250, CA02g12330		Solyc02T001290.1
N3.HOG0010049	OG0006486	n0			CA12g19380		Solyc08T000498.2, Solyc12T002602.1
N3.HOG0010050	OG0006487	n0					Solyc05T000880.1
N3.HOG0010051	OG0006488	n0			CA07g06720		Solyc07T001484.1, Solyc07T001482.1
N3.HOG0010052	OG0006489	n0			CA05g07730, CA00g94870		Solyc05T001164.1, Solyc04T000222.1
N3.HOG0010053	OG0006490	n0			CA00g72720		Solyc07T000629.1
N3.HOG0010054	OG0006491	n7			CA05g04380		Solyc10T001311.1
N3.HOG0010055	OG0006491	n8			CA08g16190		Solyc01T003776.1
N3.HOG0010056	OG0006492	n0			CA01g02550		Solyc08T002364.1
N3.HOG0010057	OG0006493	n0			CA09g13640		Solyc07T002222.1, Solyc12T000499.1
N3.HOG0010058	OG0006494	n0			CA02g10270, CA07g04350		Solyc07T000322.1
N3.HOG0010059	OG0006495	n0			CA12g02020, CA00g91690, CA03g07360		Solyc09T002361.1
N3.HOG0010060	OG0006496	n0			CA01g02360		Solyc08T002379.1
N3.HOG0010061	OG0006497	n0			CA00g60480		Solyc01T003672.1
N3.HOG0010062	OG0006498	n0					Solyc07T002106.2
N3.HOG0010063	OG0006499	n0			CA02g10740		Solyc03T000977.1, Solyc02T001220.1
N3.HOG0010064	OG0006500	n0			CA10g03820, CA10g03810		Solyc02T001490.1, Solyc10T000390.1
N3.HOG0010065	OG0006501	n2			CA08g15060, CA08g15080		Solyc01T003539.1, Solyc01T003540.5
N3.HOG0010066	OG0006501	n5			CA08g15040		Solyc01T003537.1
N3.HOG0010067	OG0006502	n0			CA05g08150		Solyc04T000211.1
N3.HOG0010068	OG0006503	n2			CA07g02260		Solyc07T000018.1
N3.HOG0010069	OG0006503	n3			CA09g18440		Solyc12T000438.1
N3.HOG0010070	OG0006504	n0			CA00g70780		Solyc11T000200.1
N3.HOG0010071	OG0006505	n1			CA04g22800		Solyc04T002992.1
N3.HOG0010072	OG0006506	n0			CA08g18180, CA08g17090		Solyc01T004108.1
N3.HOG0010073	OG0006507	n0			CA02g03690		Solyc02T000158.1
N3.HOG0010074	OG0006508	n0			CA01g19640		Solyc01T004201.1
N3.HOG0010075	OG0006509	n0					Solyc01T000328.1
N3.HOG0010076	OG0006510	n0			CA01g29330, CA01g27010		
N3.HOG0010077	OG0006511	n0					Solyc11T000454.1
N3.HOG0010078	OG0006512	n0			CA09g03290, CA10g11830		Solyc09T000124.2
N3.HOG0010079	OG0006513	n0			CA02g30080		Solyc02T002857.1
N3.HOG0010080	OG0006514	n0			CA05g15780, CA00g01050		Solyc03T001279.1
N3.HOG0010081	OG0006515	n0			CA05g02580		Solyc04T001643.1, Solyc04T000483.1
N3.HOG0010082	OG0006516	n0			CA08g12860		Solyc01T003373.1
N3.HOG0010083	OG0006517	n0			CA01g24950		Solyc01T002227.1
N3.HOG0010084	OG0006518	n0			CA08g09790		Solyc01T003039.1
N3.HOG0010085	OG0006519	n0					Solyc07T002102.1
N3.HOG0010086	OG0006520	n0			CA06g23760, CA11g19010		Solyc11T002299.1
N3.HOG0010087	OG0006521	n0			CA05g03160		Solyc05T002421.1, Solyc04T000445.1
N3.HOG0010088	OG0006522	n0			CA06g18340		Solyc05T001571.1
N3.HOG0010089	OG0006523	n0			CA05g08380, CA11g06400		Solyc05T000146.1, Solyc04T000012.1
N3.HOG0010090	OG0006524	n0			CA00g44100		Solyc12T000497.1, Solyc07T002215.1
N3.HOG0010091	OG0006525	n0			CA11g18730		Solyc11T002345.1
N3.HOG0010092	OG0006526	n0			CA02g15650		Solyc02T001576.2
N3.HOG0010093	OG0006527	n0			CA09g16800, CA00g88330		Solyc12T000268.1
N3.HOG0010094	OG0006528	n0			CA08g05520		Solyc08T000656.1
N3.HOG0010095	OG0006529	n0			CA03g21870		Solyc03T002202.1
N3.HOG0010096	OG0006530	n6			CA11g19230		Solyc11T002277.1
N3.HOG0010097	OG0006530	n7			CA06g22130, CA06g22120		Solyc06T002210.1
N3.HOG0010098	OG0006531	n0			CA01g01400		Solyc08T002451.1
N3.HOG0010099	OG0006532	n3			CA12g03130		Solyc11T000427.1
N3.HOG0010100	OG0006532	n4			CA05g02130		Solyc04T000504.2
N3.HOG0010101	OG0006533	n5			CA09g09690		Solyc09T001318.1
N3.HOG0010102	OG0006533	n6			CA05g11220		Solyc11T001510.1, Solyc05T002175.1
N3.HOG0010103	OG0006534	n0			CA12g03790, CA11g17390, CA12g03770		Solyc11T002168.1
N3.HOG0010104	OG0006535	n0			CA11g11520		Solyc05T000003.1
N3.HOG0010105	OG0006536	n5			CA09g01340		Solyc09T000313.1
N3.HOG0010106	OG0006536	n6			CA03g25800, CA00g93240		Solyc03T000268.1
N3.HOG0010107	OG0006537	n0			CA08g03570		Solyc08T000517.2
N3.HOG0010108	OG0006538	n5			CA10g16470, CA09g00940		Solyc09T000347.1
N3.HOG0010109	OG0006538	n8					Solyc11T002195.1
N3.HOG0010110	OG0006539	n7			CA12g04050		Solyc11T000361.3
N3.HOG0010111	OG0006539	n8			CA12g19640		Solyc12T002622.1
N3.HOG0010112	OG0006540	n0			CA04g03630		Solyc12T000322.5
N3.HOG0010113	OG0006541	n0					Solyc02T001165.1
N3.HOG0010114	OG0006542	n6			CA02g20010		Solyc02T001920.1
N3.HOG0010115	OG0006542	n7			CA02g02120, CA02g02110		Solyc02T000639.1
N3.HOG0010116	OG0006543	n0			CA03g28240, CA08g18140		Solyc01T004105.1
N3.HOG0010117	OG0006544	n0			CA00g57030		Solyc07T001939.1
N3.HOG0010118	OG0006546	n0					Solyc04T001739.1
N3.HOG0010119	OG0006547	n0			CA11g11190		Solyc05T000891.1
N3.HOG0010120	OG0006548	n0			CA12g18820, CA11g13840		Solyc05T000940.1
N3.HOG0010121	OG0006549	n7			CA09g12840		Solyc12T000661.1
N3.HOG0010122	OG0006549	n8			CA07g17300		Solyc07T002453.1
N3.HOG0010123	OG0006550	n5			CA00g00440		Solyc03T002495.1
N3.HOG0010124	OG0006550	n6			CA06g19960		Solyc06T002015.1
N3.HOG0010125	OG0006551	n5			CA11g19690		Solyc11T002340.1
N3.HOG0010126	OG0006551	n6			CA00g90610		Solyc06T002355.1
N3.HOG0010127	OG0006552	n7			CA07g14560		Solyc07T002234.1
N3.HOG0010128	OG0006552	n8			CA02g13500		Solyc02T001377.1
N3.HOG0010129	OG0006553	n0			CA02g19340		Solyc02T001842.1
N3.HOG0010130	OG0006554	n1					Solyc05T001198.1, Solyc05T001200.1
N3.HOG0010131	OG0006554	n3			CA00g96750, CA00g76600, CA00g76590		Solyc12T000252.1
N3.HOG0010132	OG0006555	n0			CA00g01070		Solyc08T001437.1
N3.HOG0010133	OG0006556	n0			CA09g17380, CA06g05870		Solyc12T000355.1
N3.HOG0010134	OG0006557	n5			CA12g02240		
N3.HOG0010135	OG0006557	n6			CA12g02250		Solyc11T000519.1
N3.HOG0010136	OG0006558	n7			CA10g03290		Solyc10T000353.1
N3.HOG0010137	OG0006558	n8			CA07g13650		Solyc07T002133.1
N3.HOG0010138	OG0006559	n1					Solyc05T002026.2
N3.HOG0010139	OG0006559	n2					Solyc05T002764.1
N3.HOG0010140	OG0006560	n0			CA06g15210		Solyc06T001536.1
N3.HOG0010141	OG0006561	n0			CA03g21570		Solyc03T002150.1
N3.HOG0010142	OG0006562	n0			CA01g12140, CA01g32100		PRAM_272.1.p1
N3.HOG0010143	OG0006563	n0			CA01g02240		Solyc08T002392.1
N3.HOG0010144	OG0006564	n0			CA01g13310, CA01g13330		Solyc01T000325.1
N3.HOG0010145	OG0006565	n0			CA09g13780		Solyc12T000475.1
N3.HOG0010146	OG0006566	n0			CA08g10540		Solyc01T003122.1
N3.HOG0010147	OG0006567	n0			CA11g11970		Solyc11T001955.1
N3.HOG0010148	OG0006568	n0					Solyc03T002508.1
N3.HOG0010149	OG0006569	n0			CA04g19360		Solyc05T000863.1
N3.HOG0010150	OG0006570	n0			CA02g15720		
N3.HOG0010151	OG0006571	n0			CA09g00570, CA09g00560		Solyc09T000384.1
N3.HOG0010152	OG0006572	n0			CA08g16020		Solyc01T003765.1
N3.HOG0010153	OG0006574	n0			CA03g14650		Solyc03T001973.1
N3.HOG0010154	OG0006575	n0			CA00g60440		Solyc01T003676.1
N3.HOG0010155	OG0006576	n0			CA01g31660, CA00g41490		Solyc11T001558.1, Solyc01T003805.1
N3.HOG0010156	OG0006577	n0			CA00g84700		Solyc07T001768.1
N3.HOG0010157	OG0006578	n0			CA09g02160, CA05g03120		
N3.HOG0010158	OG0006579	n0			CA06g07840		Solyc06T001027.1
N3.HOG0010159	OG0006580	n0			CA08g13710		Solyc01T003489.1
N3.HOG0010160	OG0006581	n2					Solyc04T000153.2
N3.HOG0010161	OG0006581	n8					Solyc05T001010.4
N3.HOG0010162	OG0006582	n0			CA08g14550, CA08g14570		Solyc01T003611.1
N3.HOG0010163	OG0006583	n0			CA01g19740		Solyc01T004212.1, Solyc01T000185.1
N3.HOG0010164	OG0006584	n0			CA02g26550		Solyc02T002507.1
N3.HOG0010165	OG0006585	n0			CA06g09650		Solyc03T001998.1, Solyc06T000818.1
N3.HOG0010166	OG0006586	n0			CA06g03710		Solyc04T001670.1
N3.HOG0010167	OG0006587	n0			CA06g07070		Solyc06T001026.1
N3.HOG0010168	OG0006588	n0			CA05g07600		Solyc10T001327.1
N3.HOG0010169	OG0006589	n0			CA02g27690		PRAM_26312.1.p1
N3.HOG0010170	OG0006590	n0			CA11g16020		Solyc08T002519.1
N3.HOG0010171	OG0006591	n0			CA06g13560		Solyc08T001918.1, Solyc06T001666.1
N3.HOG0010172	OG0006592	n0			CA08g02770		Solyc02T000254.1, Solyc08T000901.2
N3.HOG0010173	OG0006593	n1					Solyc06T000945.1
N3.HOG0010174	OG0006593	n3					Solyc02T001438.1
N3.HOG0010175	OG0006594	n5			CA00g41210		Solyc01T004057.1
N3.HOG0010176	OG0006594	n6			CA02g10210, CA10g07200		Solyc10T001642.1
N3.HOG0010177	OG0006595	n0			CA11g08380		Solyc04T001207.1
N3.HOG0010178	OG0006596	n0			CA11g20300		Solyc11T002398.1
N3.HOG0010179	OG0006597	n0			CA03g13060		Solyc04T001857.1, Solyc03T001583.1
N3.HOG0010180	OG0006598	n0			CA10g04090, CA02g14960		Solyc02T001549.1
N3.HOG0010181	OG0006599	n0			CA02g03750		Solyc02T000164.1
N3.HOG0010182	OG0006600	n0			CA02g06210		Solyc02T000702.1
N3.HOG0010183	OG0006601	n0			CA02g12840, CA00g80240, CA02g10700		
N3.HOG0010184	OG0006602	n4					Solyc12T002394.1
N3.HOG0010185	OG0006602	n8					Solyc02T002550.1
N3.HOG0010186	OG0006603	n6			CA02g09110		Solyc02T001052.1
N3.HOG0010187	OG0006603	n7			CA02g30520		Solyc02T002898.1
N3.HOG0010188	OG0006604	n0			CA02g13810		Solyc02T001410.1
N3.HOG0010189	OG0006605	n0			CA08g15110		Solyc06T002675.1
N3.HOG0010190	OG0006606	n0			CA00g10900, CA05g15860		Solyc06T000866.1
N3.HOG0010191	OG0006607	n0			CA04g00860		Solyc02T000267.1, Solyc03T000085.3
N3.HOG0010192	OG0006608	n2					Solyc11T001966.1
N3.HOG0010193	OG0006608	n5					Solyc12T002790.1
N3.HOG0010194	OG0006609	n0			CA06g28200		Solyc06T002686.1
N3.HOG0010195	OG0006610	n5			CA03g33190		Solyc03T003204.2
N3.HOG0010196	OG0006610	n6			CA06g17750		Solyc06T001826.2
N3.HOG0010197	OG0006612	n0					Solyc09T000728.1
N3.HOG0010198	OG0006613	n0			CA02g27160		Solyc02T002459.1
N3.HOG0010199	OG0006614	n3			CA00g62980		Solyc12T001644.1
N3.HOG0010200	OG0006614	n4			CA00g96240, CA03g29240		Solyc03T002711.5
N3.HOG0010201	OG0006615	n0			CA02g30330		Solyc02T002878.1
N3.HOG0010202	OG0006616	n0			CA06g27510		Solyc06T002770.1
N3.HOG0010203	OG0006617	n0			CA03g23280		Solyc08T001433.1
N3.HOG0010204	OG0006618	n0			CA02g15740		Solyc02T001581.1, Solyc03T000152.1
N3.HOG0010205	OG0006619	n3			CA08g14520		Solyc01T003608.1
N3.HOG0010206	OG0006619	n4			CA00g66010		Solyc10T000819.1
N3.HOG0010207	OG0006620	n0			CA08g00550		Solyc01T000261.1
N3.HOG0010208	OG0006621	n0			CA12g07800		Solyc08T000470.1, Solyc12T000897.1
N3.HOG0010209	OG0006622	n0			CA04g23530, CA12g18280		Solyc12T002524.1
N3.HOG0010210	OG0006623	n0			CA12g19330		Solyc12T002598.1
N3.HOG0010211	OG0006624	n3			CA00g79690		Solyc04T001639.1
N3.HOG0010212	OG0006624	n7			CA04g13820		Solyc04T002147.1
N3.HOG0010213	OG0006625	n0			CA00g01580, CA00g01590		Solyc11T000041.1
N3.HOG0010214	OG0006626	n7			CA03g01250		
N3.HOG0010215	OG0006626	n8			CA00g87100		Solyc03T002286.2
N3.HOG0010216	OG0006628	n2					Solyc02T001544.1
N3.HOG0010217	OG0006628	n4			CA07g17630		Solyc07T002489.1
N3.HOG0010218	OG0006629	n0			CA04g23380		Solyc04T003016.1
N3.HOG0010219	OG0006630	n0					Solyc01T002149.1
N3.HOG0010220	OG0006631	n0			CA02g18630		Solyc02T001758.1
N3.HOG0010221	OG0006632	n0			CA03g26960		Solyc03T002551.1
N3.HOG0010222	OG0006633	n0			CA08g02760		Solyc08T000900.1
N3.HOG0010223	OG0006634	n0			CA03g20920		Solyc03T001624.1
N3.HOG0010224	OG0006635	n0			CA03g04980		Solyc03T002029.1
N3.HOG0010225	OG0006636	n3			CA01g11880		Solyc01T000307.1
N3.HOG0010226	OG0006636	n4			CA11g10740		Solyc11T001938.2
N3.HOG0010227	OG0006637	n0			CA01g33050, CA12g20130, CA11g01310		Solyc05T000464.1
N3.HOG0010228	OG0006638	n0			CA11g00900		Solyc05T000449.1
N3.HOG0010229	OG0006639	n0			CA10g18940		Solyc10T002469.1
N3.HOG0010230	OG0006641	n0			CA10g18180		Solyc01T001366.1, Solyc10T002546.1
N3.HOG0010231	OG0006642	n0			CA02g27070		Solyc02T002466.1
